skill,kkni_level,n_jobs,share
support product owner,6.0,1,1.0
support production deployments,6.0,1,1.0
support regulatory attestations,,0,0.0
support research activities,,0,0.0
support scheduling for meetings and events,2.0,1,1.0
support software testing activities,6.0,1,1.0
support strategic decision-making,5.0,1,1.0
support strategic initiatives,6.0,1,1.0
support system analysis,,0,0.0
support system design,,0,0.0
support system requirements,,0,0.0
support system validation,,0,0.0
support system verification,,0,0.0
support teammates through code reviews,6.0,1,1.0
support teammates through design reviews,6.0,1,1.0
support testing of environmental analysis capabilities,6.0,1,1.0
support the design of propositions,,0,0.0
support the design of solutions,,0,0.0
"support the design, configuration, and optimisation of the EPR system",,0,0.0
support the entire sales cycle,3.0,1,1.0
support the evolution of how we deliver our developments,,0,0.0
support the implementation of solutions,,0,0.0
"support the tooling, pipelines, frameworks, and other technologies",,0,0.0
support tracking of POA&Ms,6.0,1,1.0
support tracking of exceptions,6.0,1,1.0
support tracking of remediation actions,6.0,1,1.0
support worship services,5.0,1,1.0
surplus equipment,2.0,1,1.0
tackle big problems,6.0,1,1.0
tackle problems,6.0,1,1.0
tailor messages to resonate across audiences,6.0,1,1.0
take initiative,,0,0.0
take meeting minutes,,0,0.0
take on new challenges,,0,0.0
take ownership and be reliable,2.0,1,1.0
take ownership for elements of the proposition,,0,0.0
take ownership of data solutions,5.0,1,1.0
take ownership of key mechanical subsystems,,0,0.0
take ownership of specific workstreams,,0,0.0
teach artificial intelligence,,0,0.0
teach data analytics,,0,0.0
teach natural language processing,,0,0.0
test Circuit Card Assemblies,6.0,1,1.0
test a candidate's grasp of concepts,,0,0.0
test application code,2.0,1,1.0
test code,,0,0.0
test components,,0,0.0
test data solutions,6.0,1,1.0
test frameworks,2.0,1,1.0
test high-performance data ingestion systems,6.0,1,1.0
test interactive prototypes,6.0,1,1.0
test products to destruction,,0,0.0
think big,6.0,1,1.0
think critically,2.0,1,0.5
think critically,6.0,1,0.5
think critically in a wider business context,6.0,1,1.0
think in cross-platform systems,,0,0.0
thrive in a fast-paced environment,6.0,1,1.0
thrive in ambiguity,6.0,1,1.0
thrive in an agile environment,,0,0.0
thrive in client-facing environments,,0,0.0
thrive in fast-paced collaborative environment,6.0,1,1.0
thrive in fast-paced environments,,0,0.0
track conversion metrics,,0,0.0
track cycle time,6.0,1,1.0
track environmental footprint,6.0,1,1.0
track feature performance,,0,0.0
track iteration history,6.0,1,1.0
track model performance,,0,0.0
track rule stability,6.0,1,1.0
track your own performance,,0,0.0
transfer data,,0,0.0
transform raw data into meaningful insights,6.0,1,1.0
transition legacy services,8.0,1,1.0
transition to business-as-usual operations,,0,0.0
translate business needs into technical requirements,,0,0.0
translate business use cases into scalable platform services,,0,0.0
translate complex behavioral data into clear stories,,0,0.0
translate complex operational challenges into production-ready AI systems,6.0,1,1.0
translate data-driven insights,,0,0.0
translate insights into practical recommendations,6.0,1,1.0
translate requirements into technical solutions,6.0,1,1.0
travel for team meetings,6.0,1,1.0
travel to client sites,6.0,1,1.0
travel up to 20% of the time,,0,0.0
trigger DRC runs,6.0,1,1.0
troubleshoot ILO issues,2.0,1,1.0
troubleshoot Intune application deployment failures,,0,0.0
troubleshoot Intune environments,,0,0.0
troubleshoot cabling issues,2.0,1,1.0
troubleshoot equipment,6.0,1,1.0
troubleshoot integration services,6.0,1,1.0
troubleshoot interfaces between clinical and enterprise systems,,0,0.0
troubleshoot middleware performance,6.0,1,1.0
troubleshoot multicast market data delivery platforms,,0,0.0
troubleshoot network issues,2.0,1,1.0
troubleshoot power issues,2.0,1,1.0
troubleshoot systems,2.0,1,1.0
turn analysis into business impact,,0,0.0
turn complex infrastructure requirements into simple interfaces,,0,0.0
turn data into insight,,0,0.0
turn raw multichannel audio into bearings and alerts,8.0,1,1.0
turn research-grade ideas into production-ready solutions,8.0,1,1.0
turn vision into exceptional places to live,,0,0.0
uncover actionable insights,6.0,1,1.0
understand business needs,6.0,1,1.0
understand context in virtual environments,6.0,1,1.0
understand developer needs,,0,0.0
understand local customs and practices,5.0,1,1.0
understand needs of end customers,6.0,1,1.0
understand reporting requirements,8.0,1,1.0
understand requirements,6.0,1,1.0
understand retail operations,5.0,1,1.0
understand tools involved in frontend development,,0,0.0
understand users,,0,0.0
unlock the power of data driven decision making,,0,0.0
unveil a plan for net zero emissions,6.0,1,1.0
update data,,0,0.0
upgrade skills,,0,0.0
uphold standards for code quality,6.0,1,1.0
uphold standards of safety and effectiveness,,0,0.0
use AutoCAD,6.0,1,1.0
use Bluebeam,6.0,1,1.0
use CAD systems,,0,0.0
use ML frameworks,,0,0.0
use Revit,6.0,1,1.0
use a range of equipment and techniques,,0,0.0
use causal inference methods,8.0,1,1.0
use communication and collaborative technologies,,0,0.0
use data to influence decisions,,0,0.0
use design/analysis software,,0,0.0
use independent judgment,2.0,1,1.0
use technology to solve customer problems,,0,0.0
validate AI/ML solutions,6.0,1,1.0
validate hardware,6.0,1,1.0
validate ideas,,0,0.0
verify tolerances and finishes,2.0,1,1.0
visualize partner revenue,,0,0.0
weave together various technologies,6.0,1,1.0
welcome visitors professionally,2.0,1,1.0
work across a diverse modern stack,,0,0.0
work across design and production teams,,0,0.0
work across disciplines,6.0,1,1.0
work across multi-disciplinary teams,,0,0.0
work across multiple programming languages,,0,0.0
work alongside teams,,0,0.0
work and live in operational areas,6.0,1,1.0
work as a team,,0,0.0
work at a fast pace to achieve KPIs,,0,0.0
work at the intersection of advanced robotics and live field operations,,0,0.0
work autonomously,,0,0.0
work closely with UI/UX designers,,0,0.0
work closely with architects,6.0,1,1.0
work closely with architecture teams,5.0,1,1.0
work closely with automation specialists,,0,0.0
work closely with business analysts,6.0,1,1.0
work closely with business stakeholders,6.0,1,1.0
work closely with cross-functional teams,6.0,1,1.0
work closely with customers,,0,0.0
work closely with data scientists,6.0,1,1.0
work closely with data teams,5.0,1,1.0
work closely with development teams,5.0,1,1.0
work closely with engineers,,0,0.0
work closely with other developers,6.0,1,1.0
work closely with other technologists,,0,0.0
work closely with partner teams,6.0,1,1.0
work closely with product teams,6.0,1,1.0
"work closely with sales, service, and technical teams",6.0,1,1.0
work closely with senior engineers,,0,0.0
work closely with software engineers,,0,0.0
work closely with stakeholders,6.0,1,1.0
work closely with teams,6.0,1,1.0
work closely with technical teams and business partners,,0,0.0
work collaboratively,6.0,1,1.0
work collaboratively in a multidisciplinary environment,9.0,1,1.0
work collaboratively with a diverse team,,0,0.0
work collaboratively within a team,,0,0.0
work cross functionally,6.0,1,1.0
"work cross-functionally with architecture, platform design, and engineering teams",6.0,1,1.0
work cross-functionally with teams,,0,0.0
work evenings and weekends for events,2.0,1,1.0
"work evenings, weekends, holidays, and special events",2.0,1,1.0
work in a close-knit family atmosphere,,0,0.0
work in a creative fast-paced environment,2.0,1,1.0
work in a professional environment with diverse stakeholders,2.0,1,1.0
work in a smoking environment,2.0,1,1.0
work in ambiguity,,0,0.0
work in an agile model,6.0,1,1.0
work in an agile team,6.0,1,1.0
work in moderate to loud noise levels,2.0,1,1.0
work in partnership with stakeholders,,0,0.0
work in remote mine sites with significant diversity,,0,0.0
work independently,6.0,1,0.5
work independently,9.0,1,0.5
work on a team aiming to improve user experience,6.0,1,1.0
work on complex challenges,,0,0.0
work on features that span multi-functional teams,6.0,1,1.0
work on new projects,,0,0.0
work on own initiative,8.0,1,1.0
work on profiler stack and application code,9.0,1,1.0
work on scalable web services,6.0,1,1.0
work on state-of-the-art solutions,6.0,1,1.0
work on-site,,0,0.0
work together with teams,6.0,1,1.0
work under minimal direction,2.0,1,1.0
work well independently,6.0,1,1.0
work with JavaScript tools,,0,0.0
"work with a team of SMEs, developers, and designers",6.0,1,1.0
work with administrators,2.0,1,1.0
work with advanced tools and processes,,0,0.0
"work with architects, engineers, owners, and stakeholders",6.0,1,1.0
work with business analysts,2.0,1,1.0
work with cross-functional teams,6.0,1,1.0
work with developers,2.0,1,1.0
work with docker containers,,0,0.0
work with engineering teams,,0,0.0
work with fellow engineers,6.0,1,1.0
work with geographically dispersed stakeholders,6.0,1,1.0
work with high-volume data environments,,0,0.0
work with large-scale GPU farms,,0,0.0
work with multiple cloud infrastructures,,0,0.0
work with other teams,,0,0.0
work with partners,2.0,1,1.0
work with partners to gather requirements,6.0,1,1.0
work with product owners,2.0,1,1.0
work with product teams,,0,0.0
work with public and private sector,,0,0.0
work with scrum masters,2.0,1,1.0
work with security per procedures,2.0,1,1.0
work with solution architects,2.0,1,1.0
work with utmost care and precision,,0,0.0
write articles,,0,0.0
write automation for best practices,,0,0.0
write case studies,,0,0.0
write clean concurrent code,,0,0.0
write code,,0,0.0
write grants,9.0,1,1.0
write maintainable code,,0,0.0
write new and unique tools,,0,0.0
write papers,,0,0.0
write performance or correctness tools,9.0,1,1.0
"write well-crafted, well-tested, readable, maintainable code",6.0,1,1.0
