skill,n_jobs_total,n_jobs_with_education,dominant_kkni,education_distribution_json
optimize integration services,1,1,6.0,"{""6"": 1}"
optimize middleware performance,1,1,6.0,"{""6"": 1}"
optimize money movements and foreign exchange,1,1,6.0,"{""6"": 1}"
"optimize performance of bundlers, linters, and formatters",1,0,,{}
optimize platform and sub-systems,1,1,6.0,"{""6"": 1}"
optimize systems,1,1,6.0,"{""6"": 1}"
optimize technical solutions,1,1,5.0,"{""5"": 1}"
orchestrate CI/CD,1,0,,{}
orchestrate complex ecosystems,1,0,,{}
order additional rack power,1,1,2.0,"{""2"": 1}"
organize design and production effort,1,0,,{}
organize tasks and processes,1,1,2.0,"{""2"": 1}"
organize visually-complex information,1,1,6.0,"{""6"": 1}"
organize work,1,0,,{}
organize work and processes,1,1,8.0,"{""8"": 1}"
oversee UPS,1,1,2.0,"{""2"": 1}"
oversee agency fixed assets,1,1,6.0,"{""6"": 1}"
oversee all aspects of mineral resource evaluation,1,0,,{}
oversee broadcast operations,1,1,6.0,"{""6"": 1}"
oversee daily operations,1,1,6.0,"{""6"": 1}"
oversee development of contracts,1,1,6.0,"{""6"": 1}"
oversee environmental monitoring,1,1,2.0,"{""2"": 1}"
oversee intercom and communications systems,1,1,6.0,"{""6"": 1}"
"oversee management of architects, consultants, and professional partners",1,0,,{}
"oversee progression of multiple developments from acquisition through planning, design development, and construction",1,0,,{}
oversee technology platforms,1,1,5.0,"{""5"": 1}"
own CAD,1,1,6.0,"{""6"": 1}"
own CI/CD pipelines,1,0,,{}
own business strategy,1,0,,{}
own code lifecycle,1,1,6.0,"{""6"": 1}"
own critical aspects of electrical architecture,1,1,6.0,"{""6"": 1}"
own critical aspects of electrical implementation,1,1,6.0,"{""6"": 1}"
own customer inform/awareness activities,1,1,5.0,"{""5"": 1}"
own digital signal processing stack,1,1,8.0,"{""8"": 1}"
own feature execution and delivery,1,1,8.0,"{""8"": 1}"
own product strategy,1,0,,{}
own project lifecycle,1,1,6.0,"{""6"": 1}"
own technology strategy,1,1,8.0,"{""8"": 1}"
own the backlog,1,0,,{}
own the hiring strategy,1,0,,{}
own the roadmap,1,0,,{}
own the service level of a platform,1,0,,{}
package applications for Intune,1,0,,{}
package electronics,1,1,6.0,"{""6"": 1}"
participate across many different activities,1,1,6.0,"{""6"": 1}"
participate in C-suite discussions,1,0,,{}
participate in audits,1,0,,{}
participate in building software,1,0,,{}
participate in code reviews,2,2,6.0,"{""6"": 2}"
participate in continuous improvement initiatives,1,1,6.0,"{""6"": 1}"
participate in design and development,1,1,6.0,"{""6"": 1}"
participate in design work,1,1,6.0,"{""6"": 1}"
participate in inter-agency workgroups,1,1,2.0,"{""2"": 1}"
participate in on-call rotation,1,1,6.0,"{""6"": 1}"
participate in project lifecycle,1,0,,{}
participate in user story development,1,1,2.0,"{""2"": 1}"
partner closely with Engineering and Information Security peers,1,0,,{}
partner with communications committee,1,1,5.0,"{""5"": 1}"
partner with customers,1,0,,{}
partner with data scientists,1,0,,{}
partner with engineers,2,0,,{}
partner with publishing services manager,1,1,5.0,"{""5"": 1}"
partner with sales leadership,1,0,,{}
partner with the Lead Information Architect,1,0,,{}
patch assembly code on CPUs or GPUs,1,1,9.0,"{""9"": 1}"
pay strong attention to detail,1,1,2.0,"{""2"": 1}"
perceive context in virtual environments,1,1,6.0,"{""6"": 1}"
perform analysis,1,1,6.0,"{""6"": 1}"
perform calculation,1,1,6.0,"{""6"": 1}"
perform data analysis,1,0,,{}
perform periodic checks on equipment,1,1,2.0,"{""2"": 1}"
perform precision EDM work,1,1,2.0,"{""2"": 1}"
perform secretarial and clerical duties,1,1,8.0,"{""8"": 1}"
perform simulation,1,1,6.0,"{""6"": 1}"
perform system analysis,1,1,2.0,"{""2"": 1}"
perform technical support duties,1,0,,{}
perform technical work,1,1,6.0,"{""6"": 1}"
perform testing,2,1,6.0,"{""6"": 1}"
pinpoint areas of improvement,1,1,6.0,"{""6"": 1}"
pioneer intelligent discovery experiences,1,1,8.0,"{""8"": 1}"
plan environments,1,1,5.0,"{""5"": 1}"
plan for the future,1,1,6.0,"{""6"": 1}"
plan ports needed for servers,1,1,2.0,"{""2"": 1}"
plan setup and sequence of operations,1,1,2.0,"{""2"": 1}"
plan studies,1,0,,{}
play a pivotal role in projects,1,0,,{}
play a team lead role,1,1,6.0,"{""6"": 1}"
power business owners,1,1,6.0,"{""6"": 1}"
power creative thinkers,1,1,6.0,"{""6"": 1}"
power entrepreneurs,1,1,6.0,"{""6"": 1}"
power innovators,1,1,6.0,"{""6"": 1}"
prepare external environmental reports,1,1,6.0,"{""6"": 1}"
prepare information for electrode construction,1,1,2.0,"{""2"": 1}"
present directly to senior leadership,1,1,5.0,"{""5"": 1}"
prioritise tasks effectively,1,1,8.0,"{""8"": 1}"
prioritize data-driven insights,1,0,,{}
prioritize learning,1,0,,{}
proactively contribute improvement ideas,1,0,,{}
proactively manage tasks,1,0,,{}
process RMA/OHIP billing,1,0,,{}
process day-to-day delivery,1,0,,{}
process financial expenses,1,0,,{}
process incoming and outgoing mail,1,1,2.0,"{""2"": 1}"
process job applications,1,0,,{}
produce Circuit Card Assemblies,1,1,6.0,"{""6"": 1}"
produce barrels of oil,1,1,6.0,"{""6"": 1}"
produce correct financial reports,1,1,6.0,"{""6"": 1}"
produce high quality deliverables,1,0,,{}
produce high-quality components,1,1,2.0,"{""2"": 1}"
produce high-quality video content,1,1,5.0,"{""5"": 1}"
produce technical drawings,1,0,,{}
profile and analyze performance of applications and systems,1,1,9.0,"{""9"": 1}"
program CNC machines,1,1,2.0,"{""2"": 1}"
program CNC machining operations,1,1,2.0,"{""2"": 1}"
program EDM machines,1,1,2.0,"{""2"": 1}"
program enhancements for the ServiceNow portal,1,0,,{}
"program in C, C++ and scripting languages",1,1,9.0,"{""9"": 1}"
promote initiatives such as BCBS 239–aligned traceability,1,0,,{}
promote mental health and resiliency,1,1,6.0,"{""6"": 1}"
promote rapid and efficient development cycles,1,1,6.0,"{""6"": 1}"
promote soil health,1,1,6.0,"{""6"": 1}"
propose data architecture approaches,1,0,,{}
prototype solutions to complex challenges,1,0,,{}
provide HR support,1,0,,{}
provide L3 L4 support for Intune,1,0,,{}
provide a positive customer experience,1,0,,{}
provide a positive employee experience,1,0,,{}
provide administrative support,1,0,,{}
provide clear frameworks,1,1,6.0,"{""6"": 1}"
provide detailed analysis,1,0,,{}
provide direct support to clinical faculty,1,0,,{}
provide environmental expertise,1,1,6.0,"{""6"": 1}"
provide expert advice,1,1,5.0,"{""5"": 1}"
provide expert full-stack support to software engineering teams,1,0,,{}
provide expert technical analysis,1,1,6.0,"{""6"": 1}"
provide feedback on marketing campaign effectiveness,1,1,5.0,"{""5"": 1}"
provide hands-on expertise,1,1,6.0,"{""6"": 1}"
provide in-app chatbot,1,1,6.0,"{""6"": 1}"
provide information on financial policies,1,1,2.0,"{""2"": 1}"
provide input into development and implementation of Machine Learning technology,1,0,,{}
provide key input to shape strategic direction,1,0,,{}
provide leadership,1,1,5.0,"{""5"": 1}"
provide leadership for sales channel operations,1,1,5.0,"{""5"": 1}"
provide leadership to application support,1,1,2.0,"{""2"": 1}"
provide live-sound support,1,1,2.0,"{""2"": 1}"
provide post-implementation support,1,0,,{}
provide post-sale customer support,1,1,3.0,"{""3"": 1}"
provide production support,1,1,6.0,"{""6"": 1}"
provide real-time market data,1,0,,{}
provide secretarial support,1,0,,{}
provide solutions,1,0,,{}
provide strategic direction,1,1,6.0,"{""6"": 1}"
provide support for sales channel operations,1,1,5.0,"{""5"": 1}"
provide technical audio support,1,1,2.0,"{""2"": 1}"
provide technical direction,1,1,2.0,"{""2"": 1}"
provide technical leadership,3,2,5.0,"{""5"": 1, ""6"": 1}"
provide technical mentorship,1,1,6.0,"{""6"": 1}"
provide technical oversight,1,1,2.0,"{""2"": 1}"
provide technical support,1,1,2.0,"{""2"": 1}"
provide technical support to customers,1,1,6.0,"{""6"": 1}"
provide transformative solutions,1,1,6.0,"{""6"": 1}"
provide visibility on progress and timelines,1,1,8.0,"{""8"": 1}"
provision and manage data resources,1,0,,{}
provision cloud infrastructure,1,0,,{}
provision infrastructure,1,0,,{}
publish papers,1,0,,{}
push boundaries,1,0,,{}
push capability into modern AI techniques,1,1,8.0,"{""8"": 1}"
push the boundaries of what uncrewed systems can do,1,0,,{}
qualify actuators,1,1,6.0,"{""6"": 1}"
qualify inbound interest,1,0,,{}
qualify sensors,1,1,6.0,"{""6"": 1}"
qualify valves,1,1,6.0,"{""6"": 1}"
rack and stack new servers,1,1,2.0,"{""2"": 1}"
raise the bar,1,0,,{}
rebuild automation platforms,1,1,6.0,"{""6"": 1}"
receive equipment,1,1,2.0,"{""2"": 1}"
recommend change of employee status,1,1,5.0,"{""5"": 1}"
recommend employee advancement,1,1,5.0,"{""5"": 1}"
recommend employee promotions,1,1,5.0,"{""5"": 1}"
recruit and hire talented team,1,1,6.0,"{""6"": 1}"
redesign automation platforms,1,1,6.0,"{""6"": 1}"
reduce carbon footprint,1,0,,{}
reduce environmental impact,1,1,6.0,"{""6"": 1}"
refactor and upgrade codebase,1,0,,{}
reimagine ways to create a smart and sustainable future,1,1,6.0,"{""6"": 1}"
report to the Operations Manager,1,0,,{}
reproduce technical issues,1,1,6.0,"{""6"": 1}"
research latest technological developments,1,1,6.0,"{""6"": 1}"
"research, design, and prototype the look and feel of digital products",1,1,6.0,"{""6"": 1}"
resolve conflicts,1,1,8.0,"{""8"": 1}"
resolve issues,1,0,,{}
resolve issues and blockers,1,0,,{}
resolve issues related to outstanding payments,1,0,,{}
resolve problems,1,1,2.0,"{""2"": 1}"
resolve production issues,1,0,,{}
respond quickly to prospects,1,0,,{}
respond to alarms,1,1,2.0,"{""2"": 1}"
respond to customer feedback,1,0,,{}
review code,1,0,,{}
review performance,1,0,,{}
review plant plans and forecasts,1,1,6.0,"{""6"": 1}"
review scan results,1,1,6.0,"{""6"": 1}"
rightsize infrastructure,1,1,5.0,"{""5"": 1}"
run databases in Linux environment,1,1,8.0,"{""8"": 1}"
run fiber and copper cabling,1,1,2.0,"{""2"": 1}"
run large-scale systems,1,0,,{}
safeguard company networks and computer systems,1,1,6.0,"{""6"": 1}"
safeguard national security,1,0,,{}
safeguard sensitive information,1,0,,{}
scale AI-enabled workflows,1,0,,{}
scale CI/CD pipelines,1,0,,{}
scale a modern data platform,1,0,,{}
scale consumer products,1,0,,{}
scale corporate production network,1,0,,{}
scale environments quickly,1,0,,{}
scale high-performance mobile applications,1,0,,{}
scale product growth,1,0,,{}
scale programmes,1,0,,{}
scale service operations,1,0,,{}
schedule calls,1,0,,{}
scope and build data products,1,1,8.0,"{""8"": 1}"
script PowerShell for automation,1,0,,{}
script proficiently,1,1,5.0,"{""5"": 1}"
secure high-scale communication systems,1,0,,{}
seek feedback from senior team members,1,0,,{}
select actuators,1,1,6.0,"{""6"": 1}"
select sensors,1,1,6.0,"{""6"": 1}"
select valves,1,1,6.0,"{""6"": 1}"
sell the company vision to passive candidates,1,0,,{}
serve as a key liaison,1,1,6.0,"{""6"": 1}"
serve as a lab monitor for an electronic music lab,1,1,2.0,"{""2"": 1}"
serve as a liaison with the information security team,1,1,6.0,"{""6"": 1}"
serve as a resource to help teams solve problems,1,0,,{}
serve as a security contact for the business unit,1,1,6.0,"{""6"": 1}"
serve as first point of contact for visitors,1,1,2.0,"{""2"": 1}"
serve as liaison for building management,1,1,6.0,"{""6"": 1}"
serve as subject matter expert,1,1,6.0,"{""6"": 1}"
serve entities worldwide,1,1,6.0,"{""6"": 1}"
set a new standard for automated weed control,1,1,6.0,"{""6"": 1}"
set a vision,1,1,6.0,"{""6"": 1}"
set standards,1,1,6.0,"{""6"": 1}"
set up CNC machining operations,1,1,2.0,"{""2"": 1}"
set up Jenkins,1,0,,{}
set up parts on machines,1,1,2.0,"{""2"": 1}"
setup AV equipment,1,1,5.0,"{""5"": 1}"
setup manufacturing processes,1,1,6.0,"{""6"": 1}"
shape data-driven strategies,1,1,6.0,"{""6"": 1}"
shape hybrid cloud environment,1,1,5.0,"{""5"": 1}"
shape key parts of commerce and monetization ecosystem,1,0,,{}
shape platform architecture,1,0,,{}
shape the foundation of search and AI ecosystem,1,1,8.0,"{""8"": 1}"
shape the future of financial planning,1,1,5.0,"{""5"": 1}"
shape the future of platform,1,1,8.0,"{""8"": 1}"
shape the next generation of CIS,1,1,6.0,"{""6"": 1}"
shape user workflows,1,0,,{}
sharpen knowledge,1,0,,{}
shift left database expertise,1,0,,{}
ship higher-quality work,1,0,,{}
showcase design impact via portfolio,1,1,6.0,"{""6"": 1}"
simplify purchasing flows,1,0,,{}
solve business challenges,1,1,6.0,"{""6"": 1}"
solve business problems,1,0,,{}
solve challenging problems,1,1,6.0,"{""6"": 1}"
solve complex challenges,3,2,6.0,"{""6"": 2}"
solve complex customer challenges,1,0,,{}
solve complex problems,1,1,6.0,"{""6"": 1}"
solve complex problems at scale,1,0,,{}
solve problems,6,4,6.0,"{""2"": 1, ""6"": 2, ""8"": 1}"
solve problems creatively,1,0,,{}
solve problems for the built environment,1,1,6.0,"{""6"": 1}"
solve problems proactively,1,1,2.0,"{""2"": 1}"
solve technical problems,2,1,6.0,"{""6"": 1}"
stabilize Intune environments,1,0,,{}
standardize processes,1,1,6.0,"{""6"": 1}"
standardize sales channel operations,1,1,5.0,"{""5"": 1}"
stay connected with company communications,1,1,6.0,"{""6"": 1}"
stay curious,1,0,,{}
stay current with industry knowledge,1,0,,{}
streamline processes,1,1,6.0,"{""6"": 1}"
strengthen API-first architecture,1,1,8.0,"{""8"": 1}"
strengthen FP&A processes,1,0,,{}
strengthen engineering delivery practices,1,1,8.0,"{""8"": 1}"
strengthen observability,1,1,8.0,"{""8"": 1}"
strengthen platform reliability,1,1,8.0,"{""8"": 1}"
strengthen security posture,1,1,5.0,"{""5"": 1}"
strive to advance technology,1,1,6.0,"{""6"": 1}"
structure information and actions,1,1,6.0,"{""6"": 1}"
study part prints,1,1,2.0,"{""2"": 1}"
suggest opportunities for improvement,1,1,5.0,"{""5"": 1}"
support AI platforms,1,0,,{}
support CI/CD pipelines,1,1,6.0,"{""6"": 1}"
support HR Manager,1,0,,{}
support HR software,1,0,,{}
support Product Engineering teams,1,0,,{}
support SIT/UAT testing cycles,1,1,6.0,"{""6"": 1}"
support Windows Autopilot,1,0,,{}
support academic activities,1,0,,{}
support administrative functions,1,1,2.0,"{""2"": 1}"
support aggregation accuracy,1,0,,{}
support analytics systems,1,0,,{}
support and enable growth and opportunity for every employee,1,1,6.0,"{""6"": 1}"
support business planning process,1,1,6.0,"{""6"": 1}"
support business through changes,1,0,,{}
support church events,1,1,5.0,"{""5"": 1}"
support clients,1,0,,{}
support clinical activities,1,0,,{}
support continuous improvement,1,1,6.0,"{""6"": 1}"
support course administration,1,0,,{}
support course coordination,1,0,,{}
support customer operations,1,0,,{}
support customers,1,0,,{}
support data conversions,1,0,,{}
support development of environmental analysis capabilities,1,1,6.0,"{""6"": 1}"
support engineered products,1,0,,{}
support enterprise analytics platforms,1,0,,{}
support enterprise property management systems,1,0,,{}
support executive decision-making,1,0,,{}
support feature planning,1,0,,{}
support financial planning process,1,1,6.0,"{""6"": 1}"
support forecasting process,1,1,6.0,"{""6"": 1}"
support global offer marketing managers,1,1,6.0,"{""6"": 1}"
support government customers in acquisitions,1,0,,{}
support government customers in education and training,1,0,,{}
support government customers in engineering design,1,0,,{}
support growth of team,1,1,8.0,"{""8"": 1}"
support healthcare system integrations,1,0,,{}
support local production needs,1,1,5.0,"{""5"": 1}"
support management and execution of contracts,1,1,6.0,"{""6"": 1}"
support management in project planning,1,1,2.0,"{""2"": 1}"
support one another,1,0,,{}
support operational tooling,1,1,8.0,"{""8"": 1}"
support operations,1,1,6.0,"{""6"": 1}"
"support predictable, reliable delivery",1,0,,{}
support product owner,1,1,6.0,"{""6"": 1}"
support production deployments,1,1,6.0,"{""6"": 1}"
support regulatory attestations,1,0,,{}
support research activities,1,0,,{}
support scheduling for meetings and events,1,1,2.0,"{""2"": 1}"
support software testing activities,1,1,6.0,"{""6"": 1}"
support strategic decision-making,1,1,5.0,"{""5"": 1}"
support strategic initiatives,1,1,6.0,"{""6"": 1}"
support system analysis,1,0,,{}
support system design,1,0,,{}
support system requirements,1,0,,{}
support system validation,1,0,,{}
support system verification,1,0,,{}
support teammates through code reviews,1,1,6.0,"{""6"": 1}"
support teammates through design reviews,1,1,6.0,"{""6"": 1}"
support testing of environmental analysis capabilities,1,1,6.0,"{""6"": 1}"
support the design of propositions,1,0,,{}
support the design of solutions,1,0,,{}
"support the design, configuration, and optimisation of the EPR system",1,0,,{}
support the entire sales cycle,1,1,3.0,"{""3"": 1}"
support the evolution of how we deliver our developments,1,0,,{}
support the implementation of solutions,1,0,,{}
"support the tooling, pipelines, frameworks, and other technologies",1,0,,{}
support tracking of POA&Ms,1,1,6.0,"{""6"": 1}"
support tracking of exceptions,1,1,6.0,"{""6"": 1}"
support tracking of remediation actions,1,1,6.0,"{""6"": 1}"
support worship services,1,1,5.0,"{""5"": 1}"
surplus equipment,1,1,2.0,"{""2"": 1}"
tackle big problems,1,1,6.0,"{""6"": 1}"
tackle problems,1,1,6.0,"{""6"": 1}"
tailor messages to resonate across audiences,1,1,6.0,"{""6"": 1}"
take initiative,1,0,,{}
take meeting minutes,1,0,,{}
take on new challenges,1,0,,{}
take ownership and be reliable,1,1,2.0,"{""2"": 1}"
take ownership for elements of the proposition,1,0,,{}
take ownership of data solutions,1,1,5.0,"{""5"": 1}"
take ownership of key mechanical subsystems,1,0,,{}
take ownership of specific workstreams,1,0,,{}
teach artificial intelligence,1,0,,{}
teach data analytics,1,0,,{}
teach natural language processing,1,0,,{}
test Circuit Card Assemblies,1,1,6.0,"{""6"": 1}"
test a candidate's grasp of concepts,1,0,,{}
test application code,1,1,2.0,"{""2"": 1}"
test code,1,0,,{}
test components,1,0,,{}
test data solutions,1,1,6.0,"{""6"": 1}"
test frameworks,1,1,2.0,"{""2"": 1}"
test high-performance data ingestion systems,1,1,6.0,"{""6"": 1}"
test interactive prototypes,1,1,6.0,"{""6"": 1}"
test products to destruction,1,0,,{}
think big,1,1,6.0,"{""6"": 1}"
think critically,3,2,2.0,"{""2"": 1, ""6"": 1}"
think critically in a wider business context,1,1,6.0,"{""6"": 1}"
think in cross-platform systems,1,0,,{}
thrive in a fast-paced environment,1,1,6.0,"{""6"": 1}"
thrive in ambiguity,2,1,6.0,"{""6"": 1}"
thrive in an agile environment,1,0,,{}
thrive in client-facing environments,1,0,,{}
thrive in fast-paced collaborative environment,1,1,6.0,"{""6"": 1}"
thrive in fast-paced environments,1,0,,{}
track conversion metrics,1,0,,{}
track cycle time,1,1,6.0,"{""6"": 1}"
track environmental footprint,1,1,6.0,"{""6"": 1}"
track feature performance,1,0,,{}
track iteration history,1,1,6.0,"{""6"": 1}"
track model performance,1,0,,{}
track rule stability,1,1,6.0,"{""6"": 1}"
track your own performance,1,0,,{}
transfer data,1,0,,{}
transform raw data into meaningful insights,1,1,6.0,"{""6"": 1}"
transition legacy services,1,1,8.0,"{""8"": 1}"
transition to business-as-usual operations,1,0,,{}
translate business needs into technical requirements,1,0,,{}
translate business use cases into scalable platform services,1,0,,{}
translate complex behavioral data into clear stories,1,0,,{}
translate complex operational challenges into production-ready AI systems,1,1,6.0,"{""6"": 1}"
translate data-driven insights,1,0,,{}
translate insights into practical recommendations,1,1,6.0,"{""6"": 1}"
translate requirements into technical solutions,1,1,6.0,"{""6"": 1}"
travel for team meetings,1,1,6.0,"{""6"": 1}"
travel to client sites,1,1,6.0,"{""6"": 1}"
travel up to 20% of the time,1,0,,{}
trigger DRC runs,1,1,6.0,"{""6"": 1}"
troubleshoot ILO issues,1,1,2.0,"{""2"": 1}"
troubleshoot Intune application deployment failures,1,0,,{}
troubleshoot Intune environments,1,0,,{}
troubleshoot cabling issues,1,1,2.0,"{""2"": 1}"
troubleshoot equipment,1,1,6.0,"{""6"": 1}"
troubleshoot integration services,1,1,6.0,"{""6"": 1}"
troubleshoot interfaces between clinical and enterprise systems,1,0,,{}
troubleshoot middleware performance,1,1,6.0,"{""6"": 1}"
troubleshoot multicast market data delivery platforms,1,0,,{}
troubleshoot network issues,2,1,2.0,"{""2"": 1}"
troubleshoot power issues,1,1,2.0,"{""2"": 1}"
troubleshoot systems,1,1,2.0,"{""2"": 1}"
turn analysis into business impact,1,0,,{}
turn complex infrastructure requirements into simple interfaces,1,0,,{}
turn data into insight,1,0,,{}
turn raw multichannel audio into bearings and alerts,1,1,8.0,"{""8"": 1}"
turn research-grade ideas into production-ready solutions,1,1,8.0,"{""8"": 1}"
turn vision into exceptional places to live,1,0,,{}
uncover actionable insights,1,1,6.0,"{""6"": 1}"
understand business needs,2,1,6.0,"{""6"": 1}"
understand context in virtual environments,1,1,6.0,"{""6"": 1}"
understand developer needs,1,0,,{}
understand local customs and practices,1,1,5.0,"{""5"": 1}"
understand needs of end customers,1,1,6.0,"{""6"": 1}"
understand reporting requirements,1,1,8.0,"{""8"": 1}"
understand requirements,2,1,6.0,"{""6"": 1}"
understand retail operations,1,1,5.0,"{""5"": 1}"
understand tools involved in frontend development,1,0,,{}
understand users,1,0,,{}
unlock the power of data driven decision making,1,0,,{}
unveil a plan for net zero emissions,1,1,6.0,"{""6"": 1}"
update data,1,0,,{}
upgrade skills,1,0,,{}
uphold standards for code quality,1,1,6.0,"{""6"": 1}"
uphold standards of safety and effectiveness,1,0,,{}
use AutoCAD,1,1,6.0,"{""6"": 1}"
use Bluebeam,1,1,6.0,"{""6"": 1}"
use CAD systems,1,0,,{}
use ML frameworks,1,0,,{}
use Revit,1,1,6.0,"{""6"": 1}"
use a range of equipment and techniques,1,0,,{}
use causal inference methods,1,1,8.0,"{""8"": 1}"
use communication and collaborative technologies,1,0,,{}
use data to influence decisions,1,0,,{}
use design/analysis software,1,0,,{}
use independent judgment,1,1,2.0,"{""2"": 1}"
use technology to solve customer problems,1,0,,{}
validate AI/ML solutions,1,1,6.0,"{""6"": 1}"
validate hardware,1,1,6.0,"{""6"": 1}"
validate ideas,1,0,,{}
verify tolerances and finishes,1,1,2.0,"{""2"": 1}"
visualize partner revenue,1,0,,{}
weave together various technologies,1,1,6.0,"{""6"": 1}"
welcome visitors professionally,1,1,2.0,"{""2"": 1}"
work across a diverse modern stack,1,0,,{}
work across design and production teams,1,0,,{}
work across disciplines,1,1,6.0,"{""6"": 1}"
work across multi-disciplinary teams,1,0,,{}
work across multiple programming languages,1,0,,{}
work alongside teams,1,0,,{}
work and live in operational areas,1,1,6.0,"{""6"": 1}"
work as a team,1,0,,{}
work at a fast pace to achieve KPIs,1,0,,{}
work at the intersection of advanced robotics and live field operations,1,0,,{}
work autonomously,1,0,,{}
work closely with UI/UX designers,1,0,,{}
work closely with architects,1,1,6.0,"{""6"": 1}"
work closely with architecture teams,1,1,5.0,"{""5"": 1}"
work closely with automation specialists,1,0,,{}
work closely with business analysts,1,1,6.0,"{""6"": 1}"
work closely with business stakeholders,1,1,6.0,"{""6"": 1}"
work closely with cross-functional teams,1,1,6.0,"{""6"": 1}"
work closely with customers,1,0,,{}
work closely with data scientists,2,1,6.0,"{""6"": 1}"
work closely with data teams,1,1,5.0,"{""5"": 1}"
work closely with development teams,1,1,5.0,"{""5"": 1}"
work closely with engineers,1,0,,{}
work closely with other developers,1,1,6.0,"{""6"": 1}"
work closely with other technologists,1,0,,{}
work closely with partner teams,1,1,6.0,"{""6"": 1}"
work closely with product teams,1,1,6.0,"{""6"": 1}"
"work closely with sales, service, and technical teams",1,1,6.0,"{""6"": 1}"
work closely with senior engineers,1,0,,{}
work closely with software engineers,1,0,,{}
work closely with stakeholders,2,1,6.0,"{""6"": 1}"
work closely with teams,1,1,6.0,"{""6"": 1}"
work closely with technical teams and business partners,1,0,,{}
work collaboratively,2,1,6.0,"{""6"": 1}"
work collaboratively in a multidisciplinary environment,1,1,9.0,"{""9"": 1}"
work collaboratively with a diverse team,1,0,,{}
work collaboratively within a team,1,0,,{}
work cross functionally,1,1,6.0,"{""6"": 1}"
"work cross-functionally with architecture, platform design, and engineering teams",1,1,6.0,"{""6"": 1}"
work cross-functionally with teams,1,0,,{}
work evenings and weekends for events,1,1,2.0,"{""2"": 1}"
"work evenings, weekends, holidays, and special events",1,1,2.0,"{""2"": 1}"
work in a close-knit family atmosphere,1,0,,{}
work in a creative fast-paced environment,1,1,2.0,"{""2"": 1}"
work in a professional environment with diverse stakeholders,1,1,2.0,"{""2"": 1}"
work in a smoking environment,1,1,2.0,"{""2"": 1}"
work in ambiguity,1,0,,{}
work in an agile model,1,1,6.0,"{""6"": 1}"
work in an agile team,1,1,6.0,"{""6"": 1}"
work in moderate to loud noise levels,1,1,2.0,"{""2"": 1}"
work in partnership with stakeholders,1,0,,{}
work in remote mine sites with significant diversity,1,0,,{}
work independently,3,2,6.0,"{""6"": 1, ""9"": 1}"
work on a team aiming to improve user experience,1,1,6.0,"{""6"": 1}"
work on complex challenges,1,0,,{}
work on features that span multi-functional teams,1,1,6.0,"{""6"": 1}"
work on new projects,1,0,,{}
work on own initiative,1,1,8.0,"{""8"": 1}"
work on profiler stack and application code,1,1,9.0,"{""9"": 1}"
work on scalable web services,1,1,6.0,"{""6"": 1}"
work on state-of-the-art solutions,1,1,6.0,"{""6"": 1}"
work on-site,1,0,,{}
work together with teams,1,1,6.0,"{""6"": 1}"
work under minimal direction,1,1,2.0,"{""2"": 1}"
work well independently,1,1,6.0,"{""6"": 1}"
work with JavaScript tools,1,0,,{}
"work with a team of SMEs, developers, and designers",1,1,6.0,"{""6"": 1}"
work with administrators,1,1,2.0,"{""2"": 1}"
work with advanced tools and processes,1,0,,{}
"work with architects, engineers, owners, and stakeholders",1,1,6.0,"{""6"": 1}"
work with business analysts,1,1,2.0,"{""2"": 1}"
work with cross-functional teams,2,1,6.0,"{""6"": 1}"
work with developers,2,1,2.0,"{""2"": 1}"
work with docker containers,1,0,,{}
work with engineering teams,1,0,,{}
work with fellow engineers,1,1,6.0,"{""6"": 1}"
work with geographically dispersed stakeholders,1,1,6.0,"{""6"": 1}"
work with high-volume data environments,1,0,,{}
work with large-scale GPU farms,1,0,,{}
work with multiple cloud infrastructures,1,0,,{}
work with other teams,1,0,,{}
work with partners,1,1,2.0,"{""2"": 1}"
work with partners to gather requirements,1,1,6.0,"{""6"": 1}"
work with product owners,1,1,2.0,"{""2"": 1}"
work with product teams,1,0,,{}
work with public and private sector,1,0,,{}
work with scrum masters,1,1,2.0,"{""2"": 1}"
work with security per procedures,1,1,2.0,"{""2"": 1}"
work with solution architects,1,1,2.0,"{""2"": 1}"
work with utmost care and precision,1,0,,{}
write articles,1,0,,{}
write automation for best practices,1,0,,{}
write case studies,1,0,,{}
write clean concurrent code,1,0,,{}
write code,1,0,,{}
write grants,1,1,9.0,"{""9"": 1}"
write maintainable code,1,0,,{}
write new and unique tools,1,0,,{}
write papers,1,0,,{}
write performance or correctness tools,1,1,9.0,"{""9"": 1}"
"write well-crafted, well-tested, readable, maintainable code",1,1,6.0,"{""6"": 1}"
